"x1.2","x2.1","x2.2","x8.1","x8.2","x8.3","x8.4","x8.5","x8.6","x8.7","x8.8","x8.9"
369,20,"1","1","2","5","3","3","5","1","2","4"
183,18,"1","2","1","5","5","2","2","1","5","5"
166,19,"1","1","1","5","5","5","5","1","5","1"
96,17,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,15,"1","2","1","5","5","5","5","1","5","1"
101,15,"1","2","1","5","2","1","5","1","2","2"
291,15,"1","2","1","4","3","3","4","1","4","2"
149,19,"2","2","2","2","2","3","4","4","2","2"
261,19,"1",NA,NA,"2","2","4","4","2","2","2"
289,13,"1","2","1","4","4","4","4","1","4","3"
290,16,"1","2","2","5","5","4","4","2","4","4"
287,19,"1","2","1","4","4","4","4","2","4","4"
288,15,"1","2","2","4","4","3","4","2","4","3"
266,20,"1","2","2","5","5","1","5","1","1","5"
225,19,"1","2","2","5","5","4","5","2","4","4"
226,16,"1","2","2","5","5","4","5","2","4","4"
222,18,"1","2","2","5","5","4","5","1","4","4"
227,18,"1","2","1","2","3","2","3","2","3","2"
370,15,"2","1","2","5","3","3","5","3","3","4"
347,15,"2","2","1","2","2",NA,"4","2","4","4"
250,18,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
251,19,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
244,14,"2",NA,NA,"4","4","3","4","2","2","2"
243,18,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
124,18,"2","1","2","3","2","5","5","2","4","3"
321,19,"1","1","2","2","2","2","2","2","3","3"
242,16,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
525,19,"2","1","2","5","2","5","5","1","5","5"
524,18,"2",NA,"2","1","2","5","5","2","5","4"
232,18,"1","2","2","5","5","4","4","2","4","4"
234,20,"2","2","2","1","1","2","4","2","4","4"
1200,18,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
233,19,"2","2","2","4","2","2","4","2","4","4"
235,16,"1","2","2","5","5","4","5","2","4","4"
215,19,"1","2","1","5","5","1","5","1","2","1"
295,16,"1","1","2","4","2","4","4","2","4","2"
116,17,"1","2","2","5","4","2","4","1","2","1"
297,14,"1","2","2","4","2","2","4","1","4","2"
334,16,"2","1","2","5","5","4","5","1","5","5"
296,13,"1","1","1","4","2","2","4","1","2","4"
335,19,"1","1","2","5","5",NA,"4","5","1","5"
376,18,"1","1","2","5","3","3","5","1","3","3"
377,19,"1","1","2","5","3","3","5","1","3","3"
170,20,"1","2","1","4","4","4","4","1","4","4"
176,20,"1","2","1","5","5","5","5","2","3","3"
195,20,"2","1","2","1","1","5","1","1","1","1"
198,20,"1","2","2","5","5","5","5","2","4","4"
190,18,"1","2","2","5","5","5","5","1","4","5"
539,17,"1","3","1","5","5","5","5","1","5","5"
542,19,"2","2","1","1","5",NA,"1","1","5","5"
543,18,"2","2","1","1","1","1","1","5","5","5"
540,16,"2","1","1","5","5","5","5","1","5","5"
538,18,"1","3","1","5","5","5","5","1","5","5"
541,17,"2","2","1","5","5","5","5","1","5","5"
162,19,"1","2","2","4","4","4","4","1","2","2"
163,14,"1","2","1","4","4","3","5","1","4","4"
26,16,"2",NA,NA,"2","2","1","5",NA,"1","4"
197,13,"1","2","2","4","4","4","5","1","5","5"
34,18,"1","2","1","5","5","5","5","1","2","5"
32,18,"1","2","1","5","3","2","5","1","5","4"
33,18,"1","1","2","1","1","5","5","1","5","1"
420,16,"1","2","2","4","4","4","4","4","5","4"
417,19,"2","2",NA,"2","4","2","3","1","1","1"
416,19,"2","2","2","3","4","5","5","3","1","1"
423,14,"1","1","2",NA,NA,NA,NA,NA,NA,NA
422,19,"1","1","2","4","4","4","4","2","2","2"
160,19,"1","2","1","1","1","4","5","1","3","2"
130,18,"2","2",NA,"5","5","5","5","2","5","5"
131,16,"2","1","2","3","3","3","3","3","3","3"
132,14,"1","2","1","5","5","5","5","1","1","1"
128,19,"2","1","2","3","3","3","3","3","3","3"
129,15,"2","2","2","3","4","3","3","3","3","3"
3,20,"1","2","1","4","3","5","5","3",NA,NA
419,13,"1","2","1","4","3","4","4","2","5","4"
1004,18,"2","1","2","1","2","2","5","1","1","2"
1005,18,"1","1","2","2","4","4","4","1","4","4"
1006,19,"1","1","2","4","4","4","4","1","4","4"
444,19,"1","3",NA,"2","2","2","5","3","1","1"
418,19,"2","2",NA,"1","4","3","4","3","3","4"
415,15,"2","2","2","4","4","5","5","3","2","3"
1007,18,"2","1","2","1","2","2","5","1","4","4"
